question,document
Do we have any supplementary videos or materials available if I can't finish the book?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md
What specific chapters are we supposed to be working through for the next book club meeting?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md
Did the team reach a conclusion on how to track customer value without making it just another internal metric?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md
Where can I find those examples about measuring success that were discussed during the July 8th session?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md
Is there a place where I can suggest new reading material for the group?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md
How do I make sure a book I want to read gets considered for the next session?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md
Can I add my own name to the list if I am interested in a specific title?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md
Who is currently tracking the progress or status of the book Release It!?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md
Where can I find the full list of our current book collection?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md
Where can I find the list of books the club has already finished?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md
Is there a link available to see all the titles we have covered so far?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md
Does the group keep a record of the books read in previous sessions?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md
Where should I look if I want to see the complete list of past readings?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md
Can I view the collection of books that have been discussed by the team?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md
Who is the person responsible for suggesting these technical books?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md
Can you tell me which author wrote the guide on infrastructure management?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md
Is there a specific list of recommended reading for the engineering team?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md
Which book should I check out if I want to learn more about testing methods?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md
Are there any materials in our collection that cover domain design topics?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md
Where can I see the list of titles the group finished already?,communities-of-practice/cloud-and-engineering/book-club/library/library.md
Is there a specific place to find suggestions for what we should read next?,communities-of-practice/cloud-and-engineering/book-club/library/library.md
How do I check which books are currently on the radar for the future?,communities-of-practice/cloud-and-engineering/book-club/library/library.md
Where is the collection of recommended reading located?,communities-of-practice/cloud-and-engineering/book-club/library/library.md
Can I find a history of our previous book selections anywhere?,communities-of-practice/cloud-and-engineering/book-club/library/library.md
How do I actually get the invite for the meetings added to my work calendar?,communities-of-practice/cloud-and-engineering/book-club/welcome.md
Am I allowed to use my professional development budget to buy the book we are reading?,communities-of-practice/cloud-and-engineering/book-club/welcome.md
How often do the book club sessions usually take place?,communities-of-practice/cloud-and-engineering/book-club/welcome.md
Is it okay if I just listen in during the meetings instead of actively joining the discussions?,communities-of-practice/cloud-and-engineering/book-club/welcome.md
Where should I post my thoughts or questions about the current chapter before we meet?,communities-of-practice/cloud-and-engineering/book-club/welcome.md
Are our project results considered more significant than the technical tools we use?,company/about.md
What is the core reason our company exists?,company/about.md
How does the organization help government groups transition to digital systems?,company/about.md
Can you explain what we mean by being a trustworthy partner to our clients?,company/about.md
How do we prioritize personal development and team growth in our day-to-day?,company/about.md
Who do I need to reach out to if I'm planning to move to a new house?,guides/Relocation.md
Should I talk to my manager before I finalize my moving plans?,guides/Relocation.md
How do I update my personal home address in the system once I have moved?,guides/Relocation.md
Is it necessary to notify the People team if my office location is changing?,guides/Relocation.md
Why does the head of my department need to be aware of my address change?,guides/Relocation.md
How often should I reach out to my new starter during their first quarter?,guides/buddy_guidance.md
What is the best way to handle onboarding interactions while we are all working remotely?,guides/buddy_guidance.md
"Am I expected to provide all the answers, or can I point them elsewhere if I'm not sure?",guides/buddy_guidance.md
"Beyond just being a friendly face, what specific tasks should I focus on to help them settle in?",guides/buddy_guidance.md
What kind of rhythm should we switch to once the initial three-month onboarding period ends?,guides/buddy_guidance.md
What are the first steps I should take immediately after joining the chalet?,guides/chalet_time_policy.md
Who is actually accountable for making sure I am using my chalet time correctly?,guides/chalet_time_policy.md
How should I log my time on my timesheets if I am working on a Community of Practice activity?,guides/chalet_time_policy.md
What is the expected duration for tasks I pick up to ensure they are useful while on the bench?,guides/chalet_time_policy.md
"If I want to start a blog post while I have free time, who is the best person to contact?",guides/chalet_time_policy.md
Do I have to go to a physical center to take an AWS exam or can I just do it from home?,guides/cloud/aws_certification_advice.md
What is the process for getting my money back if I pay for an AWS certification exam?,guides/cloud/aws_certification_advice.md
"If I get charged in USD for an exam, how should I handle the currency conversion in Xero?",guides/cloud/aws_certification_advice.md
Is there any reward or discount I get after successfully passing an AWS exam?,guides/cloud/aws_certification_advice.md
What training resources do you suggest for someone studying for the Certified Cloud Practitioner exam?,guides/cloud/aws_certification_advice.md
Should I use my work email to register for my personal AWS Certification account?,guides/cloud/aws_partner_certs.md
How can I make sure my achieved certifications show up on the company's partner account?,guides/cloud/aws_partner_certs.md
Which training path should I follow if my role here isn't technical?,guides/cloud/aws_partner_certs.md
Is it mandatory for me to get the Cloud Practitioner Certification?,guides/cloud/aws_partner_certs.md
What do I need to do with my certification account when I eventually leave the company?,guides/cloud/aws_partner_certs.md
Do I need to use a specific email address when I sign up for the partner account?,guides/cloud/aws_partner_registration.md
Where do I go to kick off the registration process for the AWS Partner Network?,guides/cloud/aws_partner_registration.md
What should I do if I haven't received the verification code needed to finish my account setup?,guides/cloud/aws_partner_registration.md
Is it okay to use my company email for the training and certification section of the form?,guides/cloud/aws_partner_registration.md
What kind of info am I expected to provide when they ask why I want to join the network?,guides/cloud/aws_partner_registration.md
How often can I expect my pay to be looked at?,guides/compensation/salary_reviews.md
Does the company have to give me a raise during the yearly check-in?,guides/compensation/salary_reviews.md
What kind of stuff affects whether my pay goes up or not?,guides/compensation/salary_reviews.md
"If I get a promotion, is that considered a separate process from the regular review?",guides/compensation/salary_reviews.md
Does getting a raise this time mean I'm basically guaranteed another one next year?,guides/compensation/salary_reviews.md
How do I actually get set up to use the playground account for my testing?,guides/cloud/aws_sandbox.md
Do I need to worry about deleting my stuff manually in the playground or does it happen automatically?,guides/cloud/aws_sandbox.md
Which specific regions are we allowed to use when playing around in the AWS sandbox?,guides/cloud/aws_sandbox.md
What is the main difference in the cleanup schedule between the playground and the devops interview accounts?,guides/cloud/aws_sandbox.md
Who do I message on Slack to get added to the correct group for sandbox access?,guides/cloud/aws_sandbox.md
Why do I need to connect my Microsoft exam account to the company portal?,guides/cloud/azure_partner_certs.md
Should I use my work email or personal email when signing up for Azure exams?,guides/cloud/azure_partner_certs.md
What do I need to have finished in Microsoft Learn before I can link my accounts?,guides/cloud/azure_partner_certs.md
Is it actually required for me to get these certifications as part of my job?,guides/cloud/azure_partner_certs.md
Which credentials should I use when I click on the associate button in the partner portal?,guides/cloud/azure_partner_certs.md
What kind of stuff am I allowed to build inside the Azure sandbox environment?,guides/cloud/azure_sandbox.md
Is it true that everything gets wiped out automatically at the end of the work week?,guides/cloud/azure_sandbox.md
Where should I report it if I spot a security hole or something suspicious?,guides/cloud/azure_sandbox.md
Do I need to set up a new password for the portal or does it just use my work credentials?,guides/cloud/azure_sandbox.md
Who do I reach out to if I try to launch a service but get an access denied error?,guides/cloud/azure_sandbox.md
What is the system we use for booking our business trips?,guides/compensation/expenses.md
Can I still claim back my railcard if I am working out my notice period?,guides/compensation/expenses.md
How long do I have to submit my claim before it expires?,guides/compensation/expenses.md
Who should I check with before spending money on client-related entertainment?,guides/compensation/expenses.md
What should I do if I don't have access to Xero to submit my receipts?,guides/compensation/expenses.md
Can I just go to my regular local optician and expense it later?,guides/compensation/expenses/eyetest.md
How exactly do I go about getting my voucher for the eye exam?,guides/compensation/expenses/eyetest.md
What kind of discount do I actually get on new glasses with the scheme?,guides/compensation/expenses/eyetest.md
"If I need special glasses just for staring at my laptop all day, does the company pay for those?",guides/compensation/expenses/eyetest.md
Will the company cover my glasses if I wear them for driving as well as work?,guides/compensation/expenses/eyetest.md
What happens to my payday if the 28th lands on a Saturday or Sunday?,guides/compensation/salary_pay_slips.md
When is the absolute latest I can get my hours logged before the payroll cutoff?,guides/compensation/salary_pay_slips.md
"If I start mid-month, when exactly should I expect to see my first paycheck hit my bank account?",guides/compensation/salary_pay_slips.md
How am I supposed to set up my account to view my monthly pay statements?,guides/compensation/salary_pay_slips.md
Who should I reach out to if I notice a mistake on my paycheck or have questions about my salary?,guides/compensation/salary_pay_slips.md
How can I add a new page to the handbook without needing to use git or a text editor?,guides/contributing_to_the_handbook.md
What should I do if I notice a broken link check failure on my pull request?,guides/contributing_to_the_handbook.md
"When I'm making updates to my pull request, do I need to create a new branch every time I commit a change?",guides/contributing_to_the_handbook.md
Who should I contact if I don't have the necessary write permissions to edit the handbook?,guides/contributing_to_the_handbook.md
What is the recommended timeline for waiting for feedback on significant handbook changes?,guides/contributing_to_the_handbook.md
Who should I reach out to if I have a specific issue regarding equality or diversity at work?,guides/equality-diversity-and-inclusion/README.md
How does the company handle tracking and measuring our progress on D&I goals?,guides/equality-diversity-and-inclusion/README.md
"Can I join any of the diversity community groups, or do I need an invite for all of them?",guides/equality-diversity-and-inclusion/README.md
What exactly does the diversity and inclusion service team do on a daily basis?,guides/equality-diversity-and-inclusion/README.md
Is there a specific space where I can go to voice my opinion on the company's current D&I strategy?,guides/equality-diversity-and-inclusion/README.md
Do I need to be a specific member of staff to join the D&I meetings?,guides/equality-diversity-and-inclusion/about-di-community.md
How often do these meetings actually happen and where should I look for the invite?,guides/equality-diversity-and-inclusion/about-di-community.md
"If I want to check out past meeting notes, where are those stored?",guides/equality-diversity-and-inclusion/about-di-community.md
Is it okay if I want to join but keep my camera off the whole time?,guides/equality-diversity-and-inclusion/about-di-community.md
What is the best way to bring up a specific concern if it involves a personal experience?,guides/equality-diversity-and-inclusion/about-di-community.md
What is the difference between joining an open community versus a closed one?,guides/equality-diversity-and-inclusion/about-open-and-closed-community.md
How do I officially register a new group with the diversity and inclusion team?,guides/equality-diversity-and-inclusion/about-open-and-closed-community.md
Is there any financial help available if we want to hire a guest speaker?,guides/equality-diversity-and-inclusion/about-open-and-closed-community.md
What should we do if someone reports an issue within the group that needs formal escalation?,guides/equality-diversity-and-inclusion/about-open-and-closed-community.md
Where can I find the full list of all the current community groups that are active?,guides/equality-diversity-and-inclusion/about-open-and-closed-community.md
How can I apply to join the diversity and inclusion service team if I'm interested?,guides/equality-diversity-and-inclusion/about-service-team.md
Do the weekly meetings have to be attended by all members or just a few?,guides/equality-diversity-and-inclusion/about-service-team.md
Where should I go if I need to report a specific problem or concern?,guides/equality-diversity-and-inclusion/about-service-team.md
Are the notes from the team's weekly meetings something I can read through?,guides/equality-diversity-and-inclusion/about-service-team.md
Who exactly from the higher-ups is required to sit on this specific team?,guides/equality-diversity-and-inclusion/about-service-team.md
Is this policy actually part of my official employment contract?,guides/equality-diversity-and-inclusion/policy.md
What exactly counts as indirect discrimination in our day-to-day work?,guides/equality-diversity-and-inclusion/policy.md
Who should I reach out to first if I feel like I am being harassed?,guides/equality-diversity-and-inclusion/policy.md
Can I be asked about my health or disability status during the interview process?,guides/equality-diversity-and-inclusion/policy.md
What happens if I make a complaint about discrimination but it turns out to be false?,guides/equality-diversity-and-inclusion/policy.md
Are these exit interviews mandatory for everyone leaving the company?,guides/exit_interviews.md
How long am I expected to spend talking during this meeting?,guides/exit_interviews.md
Who usually sits in on these exit chats with me?,guides/exit_interviews.md
Do I have to answer every single one of these specific questions?,guides/exit_interviews.md
Is the feedback I share in these meetings kept strictly confidential?,guides/exit_interviews.md
Should I stand behind the table or out in front to chat with students?,guides/hiring/career_fairs.md
Do we have any vegan snacks to offer as well as the standard chocolate?,guides/hiring/career_fairs.md
Is it better to use a laptop or a tablet when signing people up?,guides/hiring/career_fairs.md
What should I say if someone asks about how long our internships last?,guides/hiring/career_fairs.md
Do we have any specific guidelines on how to handle students who are shy?,guides/hiring/career_fairs.md
Do I need to check the regular pairing guide before starting the DevOps session?,guides/hiring/devops_pairing.md
Why do we require candidates to use a real cloud account instead of a mock environment?,guides/hiring/devops_pairing.md
Is it mandatory for the interview to involve writing infrastructure as code?,guides/hiring/devops_pairing.md
Where can I find the Terraform templates needed to set up the sandbox credentials?,guides/hiring/devops_pairing.md
What specific steps should I take to wrap up the interview once we have five minutes left?,guides/hiring/devops_pairing.md
Do I need to stay for the whole interview or just a specific part?,guides/hiring/pairing.md
What should I do if the interview session is running behind schedule?,guides/hiring/pairing.md
Are there specific things I should be evaluating during the coding session?,guides/hiring/pairing.md
Is it okay to spend some time just chatting before we start the actual coding task?,guides/hiring/pairing.md
Should I be worried if we don't finish the exercise before the time is up?,guides/hiring/pairing.md
Why is it important for the company to prioritize diversity and inclusion in their hiring practices?,guides/hiring/rationale.md
How does having a structured hiring pipeline help the business scale up effectively?,guides/hiring/rationale.md
What is the primary motivation for maintaining a consistent and reliable recruitment process?,guides/hiring/rationale.md
Why does the company treat its hiring methodology similarly to other business operations through experimentation?,guides/hiring/rationale.md
In what way does creating a defined process allow the team to improve their recruitment results over time?,guides/hiring/rationale.md
How much do I get for referring an apprentice versus other roles?,guides/hiring/referral_policy.md
Can I choose to donate my referral bonus to charity instead of taking the cash?,guides/hiring/referral_policy.md
Are contractors allowed to participate in the referral program?,guides/hiring/referral_policy.md
What happens if two people refer the same candidate at the same time?,guides/hiring/referral_policy.md
Is there a limit on how long a referral stays valid if they aren't hired right away?,guides/hiring/referral_policy.md
Who should I reach out to if my laptop starts acting up?,guides/it/Hardware.md
Can I switch to a Linux machine immediately after joining the company?,guides/it/Hardware.md
Where can I find information about ordering extra equipment like monitors or keyboards?,guides/it/Hardware.md
Does my laptop get replaced based on when I started here or when the device was purchased?,guides/it/Hardware.md
Do I have to accept a new laptop as soon as the three-year mark hits?,guides/it/Hardware.md
How do I get an external guest added to a project board?,guides/it/Miro.md
Will I lose my paid editing account if I haven't logged in for a while?,guides/it/Miro.md
What's the process for handing over my boards before I quit?,guides/it/Miro.md
Can I invite a client to the main internal company team?,guides/it/Miro.md
Who should I reach out to if we need a brand new team created?,guides/it/Miro.md
Which specific license are we supposed to use for Docker Desktop since the beginning of 2022?,guides/it/docker.md
Who should I reach out to if I need to get set up with a new Docker license?,guides/it/docker.md
What information do I need to include in my request when asking the IT team for access?,guides/it/docker.md
"If I finish my work on a project, is there someone I need to tell so I can get removed?",guides/it/docker.md
What are the responsibilities of a Delivery Manager when a staff member rotates off their project?,guides/it/docker.md
Is it mandatory to swap my computer if the three-year mark hits?,guides/it/laptop_replacements.md
How do I make sure Aura knows the return package is actually from me?,guides/it/laptop_replacements.md
Can I keep my old work laptop once I get the new one?,guides/it/laptop_replacements.md
What is the best way to ship the hardware back so I'm covered if it gets lost?,guides/it/laptop_replacements.md
Where exactly do I go in Kantata to get reimbursed for the shipping costs?,guides/it/laptop_replacements.md
Where can I find the official copies of our current security certificates?,guides/it/laptop_security.md
Who should I reach out to if I have a question about security policies for a client project?,guides/it/laptop_security.md
What is the best way to report a security issue that needs immediate attention?,guides/it/laptop_security.md
Where is the place to look if I want to read up on how to properly use the VPN?,guides/it/laptop_security.md
Is there a specific Slack channel I should join for general questions about IT or security?,guides/it/laptop_security.md
"Is it okay to set up full disk encryption after I've already installed Ubuntu, or should I just reinstall?",guides/it/linux_av.md
"Do I have to use a separate administrator account for daily tasks, or is using a standard account with sudo okay?",guides/it/linux_av.md
How can I make sure that external USB drives don't automatically run programs when I plug them in?,guides/it/linux_av.md
What is the best way to verify that my SentinelOne anti-virus is actually working correctly after I set it up?,guides/it/linux_av.md
I'm getting 'hot bag syndrome' and my battery dies fast; is there a specific UEFI setting I should change to fix this?,guides/it/linux_av.md
Is it mandatory to include a real photo of myself on my profile or can I use something else?,guides/it/slack.md
Can I leave the #announcements channel if I find it too noisy?,guides/it/slack.md
Are we supposed to be available on Slack at all times for our teams?,guides/it/slack.md
When should I use @channel versus @here to get people's attention?,guides/it/slack.md
Are private Slack messages or channels actually private from the company?,guides/it/slack.md
Is it cool if I uninstall those background programs like Kandji and ThreatLocker from my laptop?,guides/it/software_licenses.md
What should I do if the specific tool I need for a project isn't already listed in the handbook?,guides/it/software_licenses.md
Who do I reach out to if I need to get access to standard apps like Trello or 1Password?,guides/it/software_licenses.md
Do I need to ask permission before starting a free trial for a new piece of software?,guides/it/software_licenses.md
Where can I find instructions for setting up my IntelliJ license using the company server?,guides/it/software_licenses.md
What steps should I take if a team lead tells me someone isn't meeting their goals?,guides/line-management/performance.md
How can I tell if a team has already provided enough constructive feedback before I start a formal process?,guides/line-management/performance.md
"Do I have to do this all by myself, or can someone else help me figure out the right goals for my reportee?",guides/line-management/performance.md
What should I do once my reportee starts hitting their targets and we don't need close monitoring anymore?,guides/line-management/performance.md
Is it going to hurt someone's career growth if they have to go through a performance management plan?,guides/line-management/performance.md
Where can I find the step-by-step guide to get the VPN running?,guides/it/vpn/README.md
Is there a specific link I should follow to set up my connection?,guides/it/vpn/README.md
Where do I look for the documentation on connecting to our network remotely?,guides/it/vpn/README.md
How do I access the instructions for the Made Tech VPN?,guides/it/vpn/README.md
Where can I find the setup materials for the company VPN?,guides/it/vpn/README.md
Who do I need to inform before I start my service?,guides/jury_service.md
What should I select in the system when booking my time off?,guides/jury_service.md
Is my time away for jury duty considered paid leave?,guides/jury_service.md
What should I tell the court if they ask about a trial going over two weeks?,guides/jury_service.md
Who should I talk to if I'm not sure about a request for postponement?,guides/jury_service.md
Where can I find and manage my personal training allowance in the HR system?,guides/learning/README.md
Can I use my training funds to buy new hardware or any extra software for my laptop?,guides/learning/README.md
Is there a specific training session I should take if I just started managing people?,guides/learning/README.md
Do I keep access to my training budget if I decide to hand in my resignation?,guides/learning/README.md
What kind of stuff can I actually spend my learning allowance on?,guides/learning/README.md
Is one hour the absolute minimum amount of time I should be spending with my reports each month?,guides/line-management/121s.md
Do we have to use a specific software for tracking our meeting agendas and notes?,guides/line-management/121s.md
Should I be worried if my manager wants to meet more often while I'm still on probation?,guides/line-management/121s.md
Is it expected that I eventually take charge of the agenda and lead these meetings myself?,guides/line-management/121s.md
Can I use the notes stored in our tracking tool to help build my case for a future promotion?,guides/line-management/121s.md
How often am I supposed to have catch-ups with my direct reports?,guides/line-management/README.md
Where should I look if I'm stuck and can't find info in the handbook?,guides/line-management/README.md
What's my involvement when a team member is trying to move up in their career?,guides/line-management/README.md
Is it my job to handle things if someone isn't meeting expectations?,guides/line-management/README.md
Who do I need to loop in if a new hire is struggling during their probation?,guides/line-management/README.md
When exactly am I supposed to schedule these annual review meetings with my reports?,guides/line-management/annual_reviews.md
Is the annual review the right time to discuss potential pay raises with my direct reports?,guides/line-management/annual_reviews.md
What steps should I follow to ensure I am correctly documenting the review process?,guides/line-management/annual_reviews.md
How can I best help my team members get ready for their upcoming performance evaluations?,guides/line-management/annual_reviews.md
Are there any specific tools I need to use to track the objectives we agree upon?,guides/line-management/annual_reviews.md
How long does the probation period typically last when I join?,guides/line-management/probation.md
What should I be focusing on during my weekly one-to-one meetings with my manager?,guides/line-management/probation.md
Is it common for people to fail their probation at this company?,guides/line-management/probation.md
What specific criteria does my manager look at to decide if I pass or fail?,guides/line-management/probation.md
What happens to my notice period once I have successfully completed probation?,guides/line-management/probation.md
What kind of signs should I look for to know if someone is actually ready to move up?,guides/line-management/promotions.md
Where exactly should my team members submit their applications when they want to level up?,guides/line-management/promotions.md
What do I do if they want a promotion for a role that isn't currently posted on the careers page?,guides/line-management/promotions.md
Is there a specific document I should read to understand the full promotion process for client-facing folks?,guides/line-management/promotions.md
What happens if their application gets turned down by the panel?,guides/line-management/promotions.md
How much heads-up do I need to give if I have to reschedule a catch-up?,guides/mentorship/README.md
Is there a recommended timeframe for how many sessions we should commit to initially?,guides/mentorship/README.md
What kind of tools or platforms are suggested for us to pair on?,guides/mentorship/README.md
Where is the best place to reach out if I'm stuck or need advice on the program?,guides/mentorship/README.md
Should I be documenting my mentee's private details in public Slack channels?,guides/mentorship/README.md
Who is supposed to set up the meetings after we get matched?,guides/mentorship/mentees/README.md
Should I tell my mentor how I learn best?,guides/mentorship/mentees/README.md
Is it helpful to show my mentor diagrams if I'm a visual learner?,guides/mentorship/mentees/README.md
What kind of preparation should I do before we meet to make the most of it?,guides/mentorship/mentees/README.md
Are we allowed to use sites like Codewars to practice coding together?,guides/mentorship/mentees/README.md
What kind of background do these mentees typically have before they get assigned to me?,guides/mentorship/mentors/README.md
How exactly does the pairing process work if someone reaches out from an outside community?,guides/mentorship/mentors/README.md
What should I do if I haven't heard from my assigned mentee after a few days?,guides/mentorship/mentors/README.md
Are there any specific tools I need to use to handle the scheduling for these remote meetings?,guides/mentorship/mentors/README.md
What are the main things I should cover during that very first introductory meeting?,guides/mentorship/mentors/README.md
Who do I email if I need a new software license or tool access?,guides/security/access_control.md
Does the Delivery Lead handle removing permissions when someone rolls off a project?,guides/security/access_control.md
What is the rule for which websites I can visit while working?,guides/security/access_control.md
"If I am in a business unit, who is in charge of my system access permissions?",guides/security/access_control.md
Are team members expected to follow specific guidelines when using company internet?,guides/security/access_control.md
What should I do with my printouts if I'm done with them but they contain sensitive info?,guides/office/clear_desk_clear_screen.md
Is it okay to jot down passwords on sticky notes if I keep them on my desk?,guides/office/clear_desk_clear_screen.md
Do I have to lock my computer screen every single time I step away from my desk?,guides/office/clear_desk_clear_screen.md
