question,expected_document,hit,correct_rank,top_result,returned_paths,method
Where can I look to learn about the best practices for staying secure when using AI tools?,guides/ai/start_here.md,1,1.0,guides/ai/start_here.md,"[""guides/ai/start_here.md"", ""guides/security/office_visitors.md"", ""roles/principal_security_engineer.md"", ""roles/lead_security_engineer.md"", ""guides/security/device_profiles.md""]",vector
"If I know of an AI resource that is missing from this list, how can I contribute?",guides/ai/start_here.md,1,1.0,guides/ai/start_here.md,"[""guides/ai/start_here.md"", ""roles/sfia (legacy)/associate_software_engineer.md"", ""guides/it/Miro.md"", ""guides/security/last_day.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md""]",vector
Which Slack channels should I join if I want to connect with other people interested in AI?,guides/ai/start_here.md,1,3.0,guides/it/slack.md,"[""guides/it/slack.md"", ""benefits/lunchers.md"", ""guides/ai/start_here.md"", ""guides/mentorship/mentors/README.md"", ""guides/equality-diversity-and-inclusion/about-open-and-closed-community.md""]",vector
Where can I find instructions on how to get the Claude API configured for my personal work?,guides/ai/start_here.md,1,2.0,guides/it/vpn/README.md,"[""guides/it/vpn/README.md"", ""guides/ai/start_here.md"", ""guides/cloud/aws_partner_certs.md"", ""guides/process/scheduling/hiring_contractors.md"", ""roles/lead_designer.md""]",vector
Are there specific training materials or structured learning paths available for technical architecture?,guides/ai/start_here.md,1,2.0,guides/learning/README.md,"[""guides/learning/README.md"", ""guides/ai/start_here.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""guides/mentorship/mentors/README.md"", ""guides/process/mentoring/supporting_and_mentoring_other_engineers.md""]",vector
What is the maximum amount I can spend on new gadgets through the TechScheme?,benefits/help_to_buy_tech.md,1,1.0,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""benefits/cycle_to_work_scheme.md"", ""guides/compensation/expenses.md"", ""guides/it/Hardware.md""]",vector
How long do I have to pay back the cost of the items I bought?,benefits/help_to_buy_tech.md,1,2.0,benefits/season_ticket_loan.md,"[""benefits/season_ticket_loan.md"", ""benefits/help_to_buy_tech.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/it/laptop_replacements.md"", ""benefits/work_ready.md""]",vector
Where exactly can I find the employer code I need to start my application?,benefits/help_to_buy_tech.md,0,,guides/onboarding.md,"[""guides/onboarding.md"", ""guides/policy/dealing_code_policy.md"", ""guides/hiring/referral_policy.md"", ""guides/process/scheduling/hiring_contractors.md"", ""guides/security/security_clearance_guidance.md""]",vector
"If I decide to quit my job, how does that affect the money I still owe for my tech?",benefits/help_to_buy_tech.md,1,1.0,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""guides/welfare/parental_leave.md"", ""guides/line-management/probation.md"", ""guides/exit_interviews.md"", ""benefits/season_ticket_loan.md""]",vector
Do I actually own the devices I buy or does the company keep them until I finish payments?,benefits/help_to_buy_tech.md,1,2.0,guides/security/bring_your_own_device.md,"[""guides/security/bring_your_own_device.md"", ""benefits/help_to_buy_tech.md"", ""guides/it/laptop_replacements.md"", ""guides/security/lost_or_stolen.md"", ""benefits/work_ready.md""]",vector
How many days should I be heading into the office each month if I'm not client-facing?,benefits/hybrid_working.md,0,,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""benefits/taking_holiday.md"", ""guides/chalet_time_policy.md"", ""benefits/work_ready.md"", ""guides/compensation/salary_pay_slips.md""]",vector
"If I want to work from a coffee shop, what should I keep in mind regarding security and sensitive info?",benefits/hybrid_working.md,0,,guides/security/office_visitors.md,"[""guides/security/office_visitors.md"", ""guides/security/security_clearance_guidance.md"", ""guides/office/clear_desk_clear_screen.md"", ""guides/security/data_protection.md"", ""roles/principal_security_engineer.md""]",vector
Can I claim travel expenses if I'm commuting to my designated regional office?,benefits/hybrid_working.md,0,,guides/compensation/expenses.md,"[""guides/compensation/expenses.md"", ""guides/Relocation.md"", ""benefits/private_medical_insurance.md"", ""benefits/taking_holiday.md"", ""guides/security/document_sharing.md""]",vector
What's the process for getting approval to work from another country for a couple of weeks?,benefits/hybrid_working.md,0,,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""guides/security/taking-mt-laptops-abroad.md"", ""guides/onboarding.md"", ""guides/Relocation.md"", ""guides/jury_service.md""]",vector
Who should I talk to if I have personal reasons that make coming into the office difficult?,benefits/hybrid_working.md,0,,guides/welfare/raising_an_issue.md,"[""guides/welfare/raising_an_issue.md"", ""guides/security/office_visitors.md"", ""guides/hiring/pairing.md"", ""guides/office/officehandbook.md"", ""guides/onboarding.md""]",vector
What percentage of my pay will I get if I'm too sick to work?,benefits/income_protection_and_life_insurance.md,1,2.0,guides/welfare/sick_leave.md,"[""guides/welfare/sick_leave.md"", ""benefits/income_protection_and_life_insurance.md"", ""guides/welfare/expectation_health_check.md"", ""benefits/work_ready.md"", ""guides/compensation/salary_pay_slips.md""]",vector
How long do I have to wait before the disability payments kick in?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/welfare/parental_leave.md"", ""guides/jury_service.md"", ""guides/onboarding.md""]",vector
Who actually decides if my health situation qualifies for these benefits?,benefits/income_protection_and_life_insurance.md,0,,guides/welfare/expectation_health_check.md,"[""guides/welfare/expectation_health_check.md"", ""benefits/Unum_Help_at_hand.md"", ""benefits/private_medical_insurance.md"", ""guides/process/people/capability_procedure.md"", ""guides/welfare/paid_counselling.md""]",vector
Is there a limit on how long the disability coverage lasts?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/it/laptop_replacements.md"", ""guides/jury_service.md"", ""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md""]",vector
How much money would my family receive if I passed away while employed?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/welfare/parental_leave.md"", ""guides/welfare/paid_counselling.md"", ""benefits/season_ticket_loan.md"", ""benefits/pension_scheme.md""]",vector
How exactly do I get picked for the free monthly team meals?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""benefits/getting_together.md"", ""guides/office/kitchen.md"", ""benefits/season_ticket_loan.md"", ""guides/welfare/paid_counselling.md""]",vector
Is it possible to expense my food if my name wasn't on the list?,benefits/lunchers.md,1,3.0,guides/office/kitchen.md,"[""guides/office/kitchen.md"", ""guides/compensation/expenses.md"", ""benefits/lunchers.md"", ""guides/security/data_protection.md"", ""benefits/work_ready.md""]",vector
What should I do if I get picked but can't actually make it that day?,benefits/lunchers.md,1,2.0,benefits/taking_holiday.md,"[""benefits/taking_holiday.md"", ""benefits/lunchers.md"", ""guides/jury_service.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md""]",vector
Where can I find the specific dates for when these group meals are happening?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/office/kitchen.md"", ""benefits/getting_together.md"", ""guides/process/scheduling/how_scheduling_works.md""]",vector
Who should I reach out to if I need more details about the lunch program?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""guides/welfare/paid_counselling.md"", ""benefits/getting_together.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""guides/office/kitchen.md""]",vector
How do I change how much I put into my pension pot?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_reviews.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/help_to_buy_tech.md"", ""guides/compensation/expenses.md""]",vector
Is there a way to start my pension contributions before the three-month waiting period ends?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/taking_holiday.md"", ""benefits/season_ticket_loan.md""]",vector
Does the company match my payments regardless of my grade level?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/season_ticket_loan.md"", ""guides/compensation/salary_reviews.md"", ""benefits/private_medical_insurance.md""]",vector
"If I decide to stop being part of the scheme, how do I go about opting out?",benefits/pension_scheme.md,1,5.0,guides/welfare/ethical_boundaries.md,"[""guides/welfare/ethical_boundaries.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""guides/equality-diversity-and-inclusion/policy.md"", ""benefits/help_to_buy_tech.md"", ""benefits/pension_scheme.md""]",vector
Are there any limits on how much I can contribute from my paycheck each month?,benefits/pension_scheme.md,0,,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/cycle_to_work_scheme.md"", ""guides/compensation/salary_reviews.md"", ""benefits/season_ticket_loan.md""]",vector
Who should I reach out to if I run into any issues during my first few weeks here?,company/welcome_pack.md,1,4.0,guides/onboarding.md,"[""guides/onboarding.md"", ""benefits/getting_together.md"", ""guides/welfare/expectation_health_check.md"", ""company/welcome_pack.md"", ""guides/welfare/raising_an_issue.md""]",vector
How often will I be sitting down with my manager to discuss how I'm doing and my future growth?,company/welcome_pack.md,0,,guides/line-management/annual_reviews.md,"[""guides/line-management/annual_reviews.md"", ""guides/line-management/121s.md"", ""guides/line-management/README.md"", ""guides/line-management/probation.md"", ""guides/line-management/promotions.md""]",vector
"Am I expected to participate in the Friday showcases right away, or should I wait until I'm more settled?",company/welcome_pack.md,1,2.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""company/welcome_pack.md"", ""benefits/getting_together.md"", ""guides/mentorship/mentees/README.md"", ""guides/hiring/career_fairs.md""]",vector
Where exactly can I find the checklist of tasks I need to complete for my orientation?,company/welcome_pack.md,0,,roles/sfia (legacy)/lead_content_designer.md,"[""roles/sfia (legacy)/lead_content_designer.md"", ""guides/welfare/dse_hs_training.md"", ""guides/process/people/capability_procedure.md"", ""roles/practice_head_application_platform_support.md"", ""guides/process/scheduling/how_scheduling_works.md""]",vector
Are there specific security settings or tools I need to have enabled for the accounts I'm using?,company/welcome_pack.md,0,,guides/security/device_profiles.md,"[""guides/security/device_profiles.md"", ""guides/cloud/aws_sandbox.md"", ""guides/security/access_control.md"", ""guides/security/bring_your_own_device.md"", ""guides/security/password_policy.md""]",vector
Which staff levels are eligible to sign up for the BUPA medical coverage?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""guides/onboarding.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/expectation_health_check.md"", ""roles/sfia (legacy)/mid_software_engineer.md""]",vector
Is the private insurance plan considered a taxable perk by the tax office?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""guides/compensation/expenses.md"", ""benefits/income_protection_and_life_insurance.md"", ""guides/compensation/salary_reviews.md"", ""guides/security/data_protection.md""]",vector
Do I need to report this health insurance benefit on my P11D form?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""benefits/work_ready.md""]",vector
Does the medical policy handle the full process from initial diagnosis to the actual treatment?,benefits/private_medical_insurance.md,1,3.0,guides/process/people/capability_procedure.md,"[""guides/process/people/capability_procedure.md"", ""guides/welfare/expectation_health_check.md"", ""benefits/private_medical_insurance.md"", ""benefits/Unum_Help_at_hand.md"", ""team-norms/delivery_healthcheck.md""]",vector
Are employees below the Lead or Principal grade allowed to opt into the private healthcare scheme?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""roles/sfia (legacy)/ucd_principal.md"", ""benefits/pension_scheme.md"", ""guides/welfare/expectation_health_check.md"", ""guides/policy/anti_corruption_and_bribery_policy.md""]",vector
Can I apply for a travel loan right after I start working here?,benefits/season_ticket_loan.md,1,1.0,benefits/season_ticket_loan.md,"[""benefits/season_ticket_loan.md"", ""guides/security/taking-mt-laptops-abroad.md"", ""guides/onboarding.md"", ""benefits/work_ready.md"", ""guides/Relocation.md""]",vector
Is there a limit on how much money the company will lend me for my commute?,benefits/season_ticket_loan.md,1,2.0,guides/compensation/expenses.md,"[""guides/compensation/expenses.md"", ""benefits/season_ticket_loan.md"", ""benefits/cycle_to_work_scheme.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/work_ready.md""]",vector
Do I have to pay any extra fees or interest on this loan?,benefits/season_ticket_loan.md,1,1.0,benefits/season_ticket_loan.md,"[""benefits/season_ticket_loan.md"", ""guides/cloud/aws_certification_advice.md"", ""guides/compensation/expenses.md"", ""roles/finance_business_partner.md"", ""guides/cloud/azure_partner_certs.md""]",vector
What happens to the remaining balance if I decide to quit before it is fully paid off?,benefits/season_ticket_loan.md,1,1.0,benefits/season_ticket_loan.md,"[""benefits/season_ticket_loan.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/jury_service.md"", ""guides/welfare/sick_leave.md"", ""guides/line-management/probation.md""]",vector
What kind of proof do I need to show the office to get this approved?,benefits/season_ticket_loan.md,0,,guides/onboarding.md,"[""guides/onboarding.md"", ""guides/security/office_visitors.md"", ""guides/it/laptop_security.md"", ""guides/security/confidentiality_agreements.md"", ""guides/office/clear_desk_clear_screen.md""]",vector
How many days of leave do we get each year including bank holidays?,benefits/taking_holiday.md,1,1.0,benefits/taking_holiday.md,"[""benefits/taking_holiday.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md"", ""guides/welfare/sick_leave.md"", ""guides/welfare/leave-and-time-off.md""]",vector
"Can I take more than four weeks off at once, and is it paid?",benefits/taking_holiday.md,1,5.0,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""guides/jury_service.md"", ""benefits/flexible_working.md"", ""benefits/season_ticket_loan.md"", ""benefits/taking_holiday.md""]",vector
What is the minimum notice I need to give if I want to take three weeks off?,benefits/taking_holiday.md,1,5.0,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""guides/jury_service.md"", ""guides/welfare/sick_leave.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/taking_holiday.md""]",vector
Who exactly do I need to clear my time off with before I book it in the system?,benefits/taking_holiday.md,0,,guides/office/clear_desk_clear_screen.md,"[""guides/office/clear_desk_clear_screen.md"", ""benefits/work_ready.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/chalet_time_policy.md"", ""guides/process/scheduling/how_scheduling_works.md""]",vector
Do I have to use my holiday allowance for the days between Christmas and New Year?,benefits/taking_holiday.md,1,1.0,benefits/taking_holiday.md,"[""benefits/taking_holiday.md"", ""benefits/work_ready.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/welfare/sick_leave.md""]",vector
Do I have to spend the full 250 pound allowance at once or can I save some of it for later?,benefits/work_ready.md,1,1.0,benefits/work_ready.md,"[""benefits/work_ready.md"", ""benefits/cycle_to_work_scheme.md"", ""benefits/season_ticket_loan.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/help_to_buy_tech.md""]",vector
Is it mandatory to finish the iHASCO training before I am allowed to buy anything for my workspace?,benefits/work_ready.md,1,1.0,benefits/work_ready.md,"[""benefits/work_ready.md"", ""guides/welfare/dse_hs_training.md"", ""guides/security/taking-mt-laptops-abroad.md"", ""guides/compensation/expenses.md"", ""guides/it/Miro.md""]",vector
What should I do if I am not totally sure if a specific piece of gear is allowed under the policy?,benefits/work_ready.md,0,,guides/security/acceptable_use_policy.md,"[""guides/security/acceptable_use_policy.md"", ""guides/office/dress_code.md"", ""guides/equality-diversity-and-inclusion/policy.md"", ""guides/security/bring_your_own_device.md"", ""guides/compensation/expenses.md""]",vector
"If I decide to buy something with my own money, which platform do I use to claim the money back?",benefits/work_ready.md,0,,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""guides/security/bring_your_own_device.md"", ""roles/finance_business_partner.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""roles/head_of_managed_services.md""]",vector
Why are we not allowed to keep the virtual card as a saved payment method on shopping sites?,benefits/work_ready.md,0,,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""guides/compensation/expenses/eyetest.md"", ""guides/security/acceptable_use_policy.md"", ""benefits/cycle_to_work_scheme.md"", ""team-norms/delivery_standards.md""]",vector
Who actually suggested we read this EDGE book?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md,1,2.0,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md,"[""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/library.md""]",vector
Do we have any supplementary videos or materials available if I can't finish the book?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md,0,,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,"[""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""communities-of-practice/cloud-and-engineering/book-club/welcome.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_read.md"", ""guides/contributing_to_the_handbook.md""]",vector
What specific chapters are we supposed to be working through for the next book club meeting?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md,0,,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,"[""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md"", ""guides/office/officehandbook.md"", ""communities-of-practice/cloud-and-engineering/book-club/welcome.md"", ""benefits/getting_together.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/library.md""]",vector
Did the team reach a conclusion on how to track customer value without making it just another internal metric?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md,1,2.0,team-norms/delivery_standards.md,"[""team-norms/delivery_standards.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""roles/head_of_service_line.md"", ""guides/line-management/performance.md"", ""roles/principal_ucp.md""]",vector
Where can I find those examples about measuring success that were discussed during the July 8th session?,communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md,0,,team-norms/principles.md,"[""team-norms/principles.md"", ""guides/process/people/capability_procedure.md"", ""guides/line-management/performance.md"", ""company/welcome_pack.md"", ""guides/line-management/121s.md""]",vector
Is there a place where I can suggest new reading material for the group?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,1,1.0,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,"[""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md"", ""communities-of-practice/cloud-and-engineering/book-club/welcome.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/library.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""README.md""]",vector
How do I make sure a book I want to read gets considered for the next session?,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,1,1.0,communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md,"[""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/library.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""communities-of-practice/cloud-and-engineering/book-club/welcome.md"", ""guides/mentorship/mentees/README.md""]",vector
